query,execution_time_s,puissance_moyenne_W,energy_consumed_J
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1507,85.272,8.5272
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1522,168.755,16.8755
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1507,111.961,11.1961
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,101.42,10.142
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,133.683,13.3683
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1523,133.844,13.3844
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1526,77.589,7.7589
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,82.524,8.2524
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1514,81.998,8.1998
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1528,104.73,10.473
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1506,76.547,7.6547
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1516,117.905,11.7905
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1521,125.933,12.5933
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1521,135.747,13.5747
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,122.895,12.2895
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1521,120.545,12.0545
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1527,77.909,7.7909
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1515,73.121,7.3121
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1499,88.641,8.8641
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1524,101.08,10.108
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1506,87.917,8.7917
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1523,158.843,15.8843
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1499,76.145,7.6145
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1526,68.848,6.8848
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1508,95.485,9.5485
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1516,120.668,12.0668
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1515,74.187,7.4187
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1496,91.92,9.192
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1508,98.119,9.8119
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1502,93.958,9.3958
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1529,96.825,9.6825
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1529,92.137,9.2137
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1517,77.985,7.7985
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,93.873,9.3873
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1525,73.002,7.3002
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1541,74.891,7.4891
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1522,69.42,6.942
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1501,71.881,7.1881
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,74.845,7.4845
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1509,100.207,10.0207
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1521,106.357,10.6357
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1519,101.454,10.1454
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1526,132.654,13.2654
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1509,70.371,7.0371
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1525,72.632,7.2632
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1502,70.343,7.0343
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1534,89.117,8.9117
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1501,77.586,7.7586
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.152,70.542,7.0542
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1497,73.192,7.3192
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,72.657,7.2657
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1508,102.892,10.2892
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1539,74.523,7.4523
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1529,117.119,11.7119
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1509,136.484,13.6484
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1525,145.363,14.5363
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1497,70.146,7.0146
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1504,80.958,8.0958
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1516,118.333,11.8333
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1535,97.355,9.7355
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1526,71.244,7.1244
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.152,129.631,12.9631
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1535,96.762,9.6762
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1526,71.038,7.1038
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1498,76.093,7.6093
